"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"RED Academy","Jungle",7,"57%","57%",10,24,60,2.9,"65.4%","9.3%","27.6%","29%",-84,-259,-6.6,4.6,"13.9%",286,"13.1%","13.9%",179,"15.6%",0,0.44,0.41,0.37
,"Los Grandes Academy","Middle",1,"0%","100%",1,3,2,1,"50.0%","16.7%","14.3%","0%",27,-43,-1,7,"22.0%",302,"16.6%","13.5%",176,"19.7%",0,0.44,0.2,0.14
,"Los Grandes Academy","Top",2,"0%","50%",0,9,2,0.2,"20.0%","0.0%","22.0%","0%",-681,-519,-15.5,6.5,"19.7%",243,"13.8%","10.6%",153,"17.5%",0,0.41,0.24,0.15
,"FURIA Academy","Top",2,"0%","100%",2,5,4,1.2,"37.5%","12.5%","13.2%","0%",261,35,-2.5,8.5,"28.4%",362,"19.1%","16.6%",241,"23.8%",0,0.4,0.24,0.09
,"Fluxo Academy","Top",2,"50%","100%",4,5,4,1.6,"44.4%","22.2%","26.3%","0%",-21,141,-6.5,7.7,"25.2%",398,"23.8%","18.7%",215,"21.5%",0,0.27,0.15,0.17
"Accez","Liberty Academy","Jungle",4,"75%","25%",5,10,53,5.8,"84.1%","7.2%","20.4%","50%",68,-180,-0.5,5.7,"16.8%",266,"11.7%","11.4%",217,"17.2%",0,0.46,0.39,0.37
"Aithusa","RED Academy","Middle",18,"56%","61%",67,39,110,4.5,"71.4%","27.0%","17.6%","39%",-69,-82,-4.4,8.5,"26.9%",630,"29.7%","30.2%",288,"24.6%",0,0.44,0.21,0.24
"Allezs","Los Grandes Academy","Top",3,"33%","0%",4,10,9,1.3,"48.1%","14.8%","32.3%","0%",-807,-603,-21.3,7.2,"23.9%",361,"18.9%","11.6%",207,"20.3%",0,0.46,0.14,0.21
"Anato","paiN Gaming Academy","Jungle",18,"56%","61%",33,40,153,4.7,"75.9%","13.5%","16.8%","44%",75,74,1.3,4.8,"12.7%",218,"11.2%","11.1%",190,"17.1%",2,0.53,0.35,0.37
"Ancrath","Fluxo Academy","Jungle",18,"56%","44%",43,47,150,4.1,"75.1%","16.7%","20.0%","39%",-32,76,1,5.6,"16.7%",342,"16.5%","18.1%",217,"18.7%",4,0.27,0.23,0.42
