"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"RED Canids","Support",1,"100%","100%",0,1,14,14,"93.3%","0.0%","7.7%","0%",-106,258,-3,0.5,"2.1%",89,"4.1%","3.0%",110,"9.1%",0,1.73,0.49,0.4
"Accez","Liberty","Jungle",14,"14%","36%",37,47,78,2.4,"69.3%","22.3%","18.9%","57%",106,19,-0.3,5.3,"15.9%",279,"12.5%","13.0%",194,"18.5%",2,0.47,0.49,0.4
"Aegis","RED Canids","Jungle",18,"78%","28%",63,45,152,4.8,"70.7%","20.7%","18.8%","22%",-139,-142,-4.3,5.8,"18.6%",333,"14.2%","15.3%",230,"18.7%",2,0.28,0.22,0.32
"Avenger","Liberty","Middle",14,"14%","43%",35,63,73,1.7,"65.1%","21.1%","25.3%","36%",145,78,2.3,7.9,"24.9%",619,"28.3%","27.2%",245,"23.2%",0,0.47,0.2,0.18
"Ayu","FURIA","ADC",18,"44%","44%",57,41,100,3.8,"71.0%","25.8%","19.4%","17%",25,258,1.1,9.4,"33.3%",560,"26.5%","28.3%",300,"27.0%",0,0.42,0.15,0.23
"Betão","FURIA","Top",18,"44%","56%",31,40,87,3,"53.4%","14.0%","19.0%","0%",-200,-88,-2.1,7.4,"22.1%",468,"22.6%","21.2%",228,"20.6%",0,0.49,0.24,0.22
"Boal","Los Grandes","Top",6,"33%","33%",5,17,24,1.7,"42.0%","7.2%","18.9%","0%",198,73,4.3,7.6,"25.2%",344,"16.3%","14.8%",218,"19.8%",0,0.45,0.22,0.2
"Brance","Fluxo","ADC",18,"61%","56%",114,38,84,5.2,"78.6%","45.2%","18.4%","33%",100,30,0.6,9.9,"35.0%",866,"35.9%","39.2%",342,"29.5%",1,0.54,0.2,0.39
"Bvoy","paiN Gaming","ADC",18,"78%","50%",117,29,115,8,"76.3%","38.5%","15.8%","22%",33,-102,1.3,10,"34.3%",788,"32.9%","36.5%",357,"28.6%",0,0.6,0.12,0.5
"CarioK","paiN Gaming","Jungle",18,"78%","50%",33,44,183,4.9,"71.1%","10.9%","23.9%","33%",-15,1,-0.3,5.1,"14.7%",280,"11.9%","11.7%",204,"16.5%",2,0.38,0.32,0.39
